url,ip,added_time
http://6iflp.fuckrkn.me,"188.226.197.161,188.226.202.246",2014-04-02 15:12:11
http://navalny.co.uk,5.9.249.27,2014-04-02 15:02:03
http://navalny.today,"141.101.116.169,141.101.117.169",2014-04-02 12:43:07
http://r2395.fuckrkn.me,188.226.197.161,2014-04-01 18:59:19
http://mi4um.fuckrkn.me,188.226.202.246,2014-03-31 10:12:08
http://navalny.zta.lk/,"188.138.90.22,46.4.98.148",2014-03-29 11:12:42
http://nav.frkc.org,107.170.121.61,2014-03-28 19:20:05
http://n.worldken.org/,78.47.87.229,2014-03-28 16:30:09
http://82.196.4.108/,82.196.4.108,2014-03-28 16:29:49
http://navalny.nuu.ru/,"162.243.46.123,5.9.2.233",2014-03-28 16:29:30
http://makarenko.fuckrkn.me/,162.243.46.123,2014-03-28 16:29:07
http://kavkaznews.overblog.com/,195.20.13.155,2014-03-27 20:51:03
http://www.daymohk.net/rus/index_ie.shtml,205.234.187.103,2014-03-27 20:49:45
http://www.daymohk.org/rus/index_ie.shtml,205.234.187.103,2014-03-27 20:47:30
http://daymohk.org/rus/index_ie.shtml,205.234.187.103,2014-03-27 20:45:34
http://daymohk.net/rus/index_ie.shtml,205.234.187.103,2014-03-27 20:44:04
http://ummanews.com/opinions/10752-2013-06-21-23-48-47.html,193.219.5.196,2014-03-27 20:43:48
http://sturmnovosti.com,"198.144.120.148,198.144.120.155",2014-03-27 14:43:10
http://grani.cloudns.us,23.253.11.112,2014-03-27 09:46:36
http://mirror.graniru.info,"162.242.199.124,23.253.11.112,23.253.11.65,23.253.120.92,23.253.134.126,23.253.134.132,23.253.134.162,23.253.134.183,23.253.135.77,23.253.180.217,50.57.203.89",2014-03-27 09:46:02
http://shturmnovosti.com/,"198.144.120.148,198.144.120.155",2014-03-26 09:42:22
http://www.hizb-russia.info/,192.185.5.35,2014-03-18 19:23:15
http://www.shturmnovosti.com/,"198.144.120.148,198.144.120.155",2014-03-18 18:42:32
http://navalny.punkchords.com/,184.168.204.1,2014-03-18 13:24:00
http://navalny.platosha.ru/,78.47.122.40,2014-03-18 13:23:43
http://navalny.zona.me,"108.162.198.192,108.162.199.192",2014-03-17 16:28:14
http://kasparov.punkchords.com/,184.168.204.1,2014-03-16 20:45:14
http://ej.punkchords.com/,184.168.204.1,2014-03-16 20:44:58
http://grani.punkchords.com/,184.168.204.1,2014-03-16 20:44:37
http://grani.ru/,"162.209.114.126,162.242.199.124,162.242.199.221,162.242.199.244,162.242.199.47,162.242.199.81,184.106.101.123,192.237.143.101,198.61.250.153,23.253.10.129,23.253.120.92,23.253.121.42,23.253.134.131,23.253.134.190,23.253.134.209,23.253.135.77,46.226.110.151,46.226.110.154,95.211.178.194",2014-03-16 20:44:09
http://ej.ru/,87.239.187.242,2014-03-13 21:25:33
http://www.ej.ru,87.239.187.242,2014-03-13 18:40:43
http://www.kasparov.ru,"67.218.116.82,67.218.116.98",2014-03-13 18:36:13
http://www.grani.ru,"162.209.114.126,162.242.199.124,162.242.199.221,162.242.199.244,162.242.199.47,162.242.199.81,184.106.101.123,192.237.143.101,195.54.210.102,198.61.250.153,23.253.10.129,23.253.120.92,23.253.121.42,23.253.134.131,23.253.134.190,23.253.134.209,23.253.135.77,46.226.110.151,46.226.110.154,65.49.55.70,95.211.178.194",2014-03-13 18:33:42
http://www.vdagestan.com,"141.101.116.61,141.101.117.61,190.93.250.49,190.93.251.49,190.93.254.110,190.93.255.110,198.41.186.130,198.41.187.130,198.41.188.130,198.41.189.130,198.41.190.130",2014-03-11 20:56:38
http://vdagestan.com,"141.101.116.61,141.101.117.61,190.93.250.49,190.93.251.49,190.93.254.110,190.93.255.110,198.41.186.130,198.41.187.130,198.41.188.130,198.41.189.130,198.41.190.130",2014-03-11 20:48:18
http://www.youtube.com/watch?v=YThOlTBgyxY,72.8.190.47,2014-03-07 16:49:51
http://hunafa.info,192.64.119.21,2014-02-24 16:25:08
http://hunafa.com,"72.8.190.47,72.8.190.48",2014-02-24 16:24:57
http://www.kavkazjihad.com,"141.101.116.173,141.101.117.173",2014-02-21 21:11:56
http://www.hunafa.info,"192.64.119.21,192.64.119.46",2014-02-18 21:39:01
http://www.hunafa.com,"72.8.190.47,72.8.190.48",2014-02-18 21:38:49
http://www.islamdin.com/,193.219.6.131,2014-02-18 16:32:25

